,Price,accommodates average,accommodates median,bedrooms average,bedrooms median,reviews average,reviews median,neighbor list,length
0,0-100,1.974025974025974,2.0,0.9897959183673469,1.0,21.000927643784788,5.0,24,1078
1,100-200,2.9757869249394675,2.0,1.1011326860841424,1.0,17.102502017756255,5.0,25,1239
2,200-300,3.8719298245614033,4.0,1.536412078152753,1.0,13.719298245614034,4.0,23,570
3,300-400,4.812182741116751,5.0,2.00507614213198,2.0,9.309644670050762,4.0,20,197
4,400-500,4.488372093023256,4.0,1.813953488372093,1.0,5.441860465116279,1.0,17,86
5,500-1000,5.322916666666667,5.0,2.3958333333333335,2.0,5.635416666666667,0.5,18,96
6,1000-5000,4.0,4.0,1.9090909090909092,2.0,0.09090909090909091,0.0,9,11
